thread,favorite_count_mean,favorite_count_sum,favorite_count_var,has_quest_mean,has_quest_sum,has_quest_var,number_punct_mean,number_punct_sum,number_punct_var,Adjective_mean,Adjective_sum,Adjective_var,Noun_mean,Noun_sum,Noun_var,user.default_pic_mean,user.default_pic_sum,user.default_pic_var,thread_length,media_count_mean,media_count_sum,media_count_var,has_coords_mean,has_coords_sum,has_coords_var,capitalratio_mean,capitalratio_sum,capitalratio_var,user.profile_bgcolor_mean,user.profile_bgcolor_sum,user.profile_bgcolor_var,Pronoun_mean,Pronoun_sum,Pronoun_var,retweet_count_mean,retweet_count_sum,retweet_count_var,user.has_bg_img_mean,user.has_bg_img_sum,user.has_bg_img_var,user.name_length_mean,user.name_length_sum,user.name_length_var,positivewordcount_mean,positivewordcount_sum,positivewordcount_var,user.profile_sbcolor_mean,user.profile_sbcolor_sum,user.profile_sbcolor_var,has_quest_or_exclaim_mean,has_quest_or_exclaim_sum,has_quest_or_exclaim_var,urls_count_mean,urls_count_sum,urls_count_var,sensitive_mean,sensitive_sum,sensitive_var,negativewordcount_mean,negativewordcount_sum,negativewordcount_var,user.tweets_count_mean,user.tweets_count_sum,user.tweets_count_var,Adverb_mean,Adverb_sum,Adverb_var,contentlength_mean,contentlength_sum,contentlength_var,is_rumor,user.handle_length_mean,user.handle_length_sum,user.handle_length_var,Verb_mean,Verb_sum,Verb_var,hasperiod_mean,hasperiod_sum,hasperiod_var,user.verified_mean,user.verified_sum,user.verified_var,has_smile_emoji_mean,has_smile_emoji_sum,has_smile_emoji_var,sentimentscore_mean,sentimentscore_sum,sentimentscore_var,user_mentions_mean,user_mentions_sum,user_mentions_var,has_exclaim_mean,has_exclaim_sum,has_exclaim_var,has_place_mean,has_place_sum,has_place_var,hashtags_count_mean,hashtags_count_sum,hashtags_count_var,hashtags_count_shared,src.followers_count,src.listed_count,src.user_verified,created,src.created_at,src.tweets_total,first_resp,last_resp,resp_var,component_count,largest_cc_diameter,time_to_first_resp,time_to_last_resp
498235547685756928,16.8,252,1894.6000000000001,0.13333333333333333,2,0.12380952380952381,5.066666666666666,76,11.352380952380955,0.8,12,0.8857142857142856,4.933333333333334,74,11.20952380952381,0.3333333333333333,5,0.2380952380952381,15,0.06666666666666667,1,0.06666666666666667,0.0,0,0.0,0.04501868841539853,0.6752803262309779,0.0021008863448846015,11314193.2,169712898,18522108510983.457,0.5333333333333333,8,0.5523809523809523,31.8,477,6774.171428571431,1.0,15,0.0,11.133333333333333,167,5.409523809523806,0.06666666666666667,1,0.06666666666666667,11199110.8,167986662,36511770502659.89,0.2,3,0.17142857142857143,0.06666666666666667,1,0.06666666666666667,0.0,0,0.0,0.0,0,0.0,9427.733333333334,141416,427172551.0666666,0,0,0.0,12.266666666666667,184,54.20952380952382,0,11.4,171,17.4,2.2,33,3.6000000000000005,1.5333333333333334,23,1.838095238095238,0.0,0,0.0,0.0,0,0.0,0.056814814814814804,0.8522222222222221,0.11985094650205763,1.0666666666666667,16,0.3523809523809524,0.06666666666666667,1,0.06666666666666667,0.06666666666666667,1,0.06666666666666667,0.4666666666666667,7,0.8380952380952383,0.7333333333333334,59,0,0,1407623586000.0,1371920260000.0,1687,1407623586000.0,1407770142000.0,3033009533204081.0,2,2,0.0,146556000.0
498248415223246848,4.185185185185185,113,398.46438746438747,0.18518518518518517,5,0.15669515669515668,5.814814814814815,157,15.464387464387471,0.9629629629629629,26,1.4985754985754984,5.555555555555555,150,4.717948717948716,0.14814814814814814,4,0.13105413105413108,27,0.2962962962962963,8,0.2165242165242165,0.18518518518518517,5,0.15669515669515668,0.08197949211194829,2.2134462870226037,0.00191260565721041,9217250.629629629,248865767,32608561700968.785,0.4074074074074074,11,0.4814814814814815,15.74074074074074,425,6209.968660968662,0.9629629629629629,26,0.037037037037037035,9.666666666666666,261,5.461538461538462,0.0,0,0.0,12778057.518518519,345007553,23481806202148.254,0.3333333333333333,9,0.23076923076923078,0.037037037037037035,1,0.037037037037037035,0.0,0,0.0,0.1111111111111111,3,0.10256410256410256,42711.48148148148,1153210,2078203726.6438746,0,0,0.0,15.407407407407407,416,49.09686609686609,0,10.148148148148149,274,18.284900284900278,2.3333333333333335,63,2.3076923076923084,1.4814814814814814,40,2.0284900284900287,0.037037037037037035,1,0.037037037037037035,0.0,0,0.0,-0.08890174897119343,-2.400347222222223,0.043356226272049,1.3703703703703705,37,0.5498575498575498,0.14814814814814814,4,0.13105413105413108,0.25925925925925924,7,0.19943019943019946,0.48148148148148145,13,0.25925925925925924,0.9259259259259259,100400,1199,1,1407626653000.0,1204833089000.0,12481,1407626883000.0,1407727446000.0,611915499544378.8,2,5,230000.0,100793000.0
498248648699150336,3.1578947368421053,180,162.9924812030074,0.24561403508771928,14,0.1885964912280702,6.315789473684211,360,20.719924812030076,1.2105263157894737,69,1.0620300751879697,5.12280701754386,292,4.823934837092731,0.14035087719298245,8,0.12280701754385968,57,0.3684210526315789,21,0.23684210526315796,0.0,0,0.0,0.08749585304747386,4.98726362370601,0.004029830100107286,6550998.052631579,373406889,37063204684915.086,0.38596491228070173,22,0.49122807017543874,21.087719298245613,1202,8125.974310776945,0.9122807017543859,52,0.08145363408521303,10.68421052631579,609,6.648496240601503,0.07017543859649122,4,0.06641604010025062,10412371.912280701,593505199,44369338369557.57,0.3157894736842105,18,0.2199248120300752,0.0,0,0.0,0.017543859649122806,1,0.017543859649122803,0.03508771929824561,2,0.03446115288220552,47642.98245614035,2715650,1965946975.2318294,0,0,0.0,12.56140350877193,716,35.03634085213033,0,11.578947368421053,660,23.998120300751882,2.1052631578947367,120,2.4172932330827073,1.5263157894736843,87,1.968045112781955,0.03508771929824561,2,0.03446115288220552,0.0,0,0.0,0.06496723579782791,3.703132440476191,0.06254018479527391,1.6666666666666667,95,0.7976190476190477,0.14035087719298245,8,0.12280701754385967,0.017543859649122806,1,0.017543859649122803,0.5263157894736842,30,0.39661654135338337,0.9298245614035088,100400,1199,1,1407626709000.0,1204833089000.0,12481,1407626709000.0,1407777490000.0,748964793698660.6,7,6,0.0,150781000.0
498250100079341568,3.2,16,31.700000000000003,0.2,1,0.20000000000000004,6.6,33,14.3,0.8,4,0.2,7.6,38,1.7999999999999998,0.8,4,0.2,5,0.2,1,0.20000000000000004,0.0,0,0.0,0.11152590001640676,0.5576295000820338,0.0014369636216777241,10808670.8,54043354,16768485243120.2,1.0,5,1.0,20.8,104,2111.7,1.0,5,0.0,11.4,57,6.800000000000001,0.4,2,0.3,13467427.8,67337139,3423341034151.2,0.2,1,0.20000000000000004,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,12502.2,62511,45015828.7,0,0,0.0,16.8,84,3.7,0,16.0,80,13.0,2.0,10,1.5,1.8,9,0.7,0.0,0,0.0,0.0,0,0.0,0.027619047619047616,0.13809523809523808,0.003814058956916098,3.4,17,0.8,0.0,0,0.0,0.0,0,0.0,0.2,1,0.20000000000000004,0.6,384,2,0,1407627055000.0,1380581912000.0,21606,1407627725000.0,1407629728000.0,658506500000.0,2,2,670000.0,2673000.0
498251940997136384,2.111111111111111,19,11.61111111111111,0.2222222222222222,2,0.19444444444444448,6.666666666666667,60,17.5,1.0,9,0.5,7.333333333333333,66,5.5,0.3333333333333333,3,0.25,9,0.2222222222222222,2,0.19444444444444448,0.0,0,0.0,0.07097445198698056,0.6387700678828251,0.00046458866613300145,12082901.444444444,108746113,26311117330963.78,0.6666666666666666,6,0.5,33.888888888888886,305,4371.361111111111,1.0,9,0.0,10.444444444444445,94,7.527777777777779,0.1111111111111111,1,0.1111111111111111,8398208.111111112,75583873,47487593779601.61,0.2222222222222222,2,0.19444444444444448,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,43932.11111111111,395389,1070112224.6111112,0,0,0.0,16.77777777777778,151,35.69444444444444,0,12.333333333333334,111,13.750000000000002,2.4444444444444446,22,2.0277777777777777,1.6666666666666667,15,3.999999999999999,0.0,0,0.0,0.0,0,0.0,0.0753968253968254,0.6785714285714286,0.016924603174603172,2.2222222222222223,20,0.6944444444444445,0.0,0,0.0,0.0,0,0.0,0.4444444444444444,4,0.2777777777777778,0.7777777777777778,1685,60,0,1407627494000.0,1292701504000.0,71259,1407627494000.0,1407872037000.0,6381930613250000.0,2,2,0.0,244543000.0
498253149707464704,19.5,78,457.0,0.0,0,0.0,7.5,30,3.0,1.0,4,0.0,8.5,34,0.3333333333333333,0.0,0,0.0,4,0.0,0,0.0,0.25,1,0.25000000000000006,0.02979663513283861,0.11918654053135444,5.083404746110079e-05,12581906.75,50327627,70357504683492.24,0.0,0,0.0,61.0,244,4722.0,1.0,4,0.0,10.0,40,4.0,0.0,0,0.0,8388139.0,33552556,93814501763074.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,42307.25,169229,1269047482.9166667,0,0,0.0,20.5,82,0.3333333333333333,0,12.25,49,2.25,4.0,16,0.0,2.0,8,0.0,0.0,0,0.0,0.0,0,0.0,-0.6,-2.4,0.0,0.5,2,0.3333333333333333,0.0,0,0.0,0.25,1,0.25000000000000006,1.0,4,0.0,0.75,1680,60,0,1407627782000.0,1292701504000.0,71145,1407627782000.0,1407633891000.0,7708942888888.888,2,2,0.0,6109000.0
498253652755111937,8.5,85,259.3888888888889,0.2,2,0.1777777777777778,4.3,43,12.011111111111111,0.7,7,0.8999999999999998,3.5,35,4.944444444444445,0.2,2,0.17777777777777778,10,0.2,2,0.1777777777777778,0.0,0,0.0,0.07566290900432321,0.7566290900432321,0.003084352256038661,5176195.5,51761955,43508910148673.836,0.6,6,0.9333333333333331,30.5,305,3934.277777777778,1.0,10,0.0,10.6,106,4.266666666666665,0.4,4,0.26666666666666666,8095687.0,80956870,52420962453747.12,0.2,2,0.1777777777777778,0.0,0,0.0,0.0,0,0.0,0.1,1,0.1,19309.8,193098,252811172.62222216,0,0,0.0,12.3,123,85.34444444444445,0,12.2,122,12.17777777777778,3.3,33,9.122222222222222,1.7,17,1.5666666666666667,0.0,0,0.0,0.0,0,0.0,0.06757936507936509,0.6757936507936508,0.016541776895943563,0.9,9,0.3222222222222222,0.0,0,0.0,0.0,0,0.0,0.6,6,0.26666666666666666,0.8,3475,188,0,1407627902000.0,1184934355000.0,17129,1407627902000.0,1407728192000.0,980982064000000.0,3,2,0.0,100290000.0
498254340310966273,2.840909090909091,125,125.95084566596191,0.20454545454545456,9,0.1664904862579281,4.340909090909091,191,9.392706131078226,1.1590909090909092,51,1.5322410147991545,6.363636363636363,280,6.190274841437634,0.22727272727272727,10,0.17970401691331922,44,0.0,0,0.0,0.045454545454545456,2,0.044397463002114175,0.06969720271834873,3.0666769196073442,0.0036640559963353955,7085705.2272727275,311771030,35053855414605.395,0.5227272727272727,23,0.48784355179704014,13.659090909090908,601,3710.4159619450315,0.9772727272727273,43,0.022727272727272724,10.931818181818182,481,4.204545454545455,0.045454545454545456,2,0.04439746300211416,14480784.295454545,637154509,9861160904886.494,0.20454545454545456,9,0.1664904862579281,0.045454545454545456,2,0.044397463002114154,0.022727272727272728,1,0.02272727272727272,0.0,0,0.0,35867.72727272727,1578180,4011670048.5285397,0,0,0.0,16.681818181818183,734,43.24524312896406,1,11.704545454545455,515,34.77114164904863,2.909090909090909,128,4.13107822410148,1.25,55,0.8430232558139533,0.0,0,0.0,0.0,0,0.0,-0.03215367965367965,-1.4147619047619044,0.03960798831669541,1.9772727272727273,87,0.3483086680761099,0.0,0,0.0,0.045454545454545456,2,0.044397463002114175,0.20454545454545456,9,0.30602536997885826,0.9318181818181819,1034,42,0,1407628066000.0,1334276431000.0,5356,1407628066000.0,1407787398000.0,5518026004952948.0,2,8,0.0,159332000.0
498254540870017025,35.666666666666664,214,3011.4666666666667,0.0,0,0.0,4.333333333333333,26,3.8666666666666663,1.1666666666666667,7,0.9666666666666666,5.833333333333333,35,6.166666666666666,0.5,3,0.3,6,0.0,0,0.0,0.0,0,0.0,0.038139870931048335,0.22883922558629,0.0006147076328620928,10321419.166666666,61928515,25647899871298.57,1.3333333333333333,8,1.8666666666666665,68.66666666666667,412,11317.866666666665,1.0,6,0.0,12.666666666666666,76,5.466666666666666,0.16666666666666666,1,0.16666666666666669,14019059.0,84114354,4564454712201.6,0.16666666666666666,1,0.16666666666666669,0.0,0,0.0,0.0,0,0.0,0.16666666666666666,1,0.16666666666666669,22685.666666666668,136114,766876274.2666667,0,0,0.0,18.0,108,74.8,0,10.166666666666666,61,3.766666666666667,3.8333333333333335,23,4.966666666666667,0.8333333333333334,5,1.3666666666666667,0.0,0,0.0,0.0,0,0.0,-0.23988095238095242,-1.4392857142857145,0.2798375850340136,0.8333333333333334,5,0.5666666666666667,0.16666666666666666,1,0.16666666666666669,0.0,0,0.0,0.5,3,0.3,0.6666666666666667,53,1,0,1407628114000.0,1332365526000.0,1140,1407628114000.0,1407638460000.0,15312044240000.0,2,2,0.0,10346000.0
498254929942028288,4.9523809523809526,104,224.54761904761898,0.047619047619047616,1,0.047619047619047616,4.333333333333333,91,8.533333333333333,1.380952380952381,29,1.7476190476190478,4.904761904761905,103,6.690476190476192,0.6190476190476191,13,0.24761904761904763,21,0.0,0,0.0,0.0,0,0.0,0.026672121351390816,0.5601145483792072,0.000268076135987952,9710481.523809524,203920112,27384990019063.062,0.9047619047619048,19,0.5904761904761905,17.095238095238095,359,2757.690476190476,0.9523809523809523,20,0.04761904761904761,10.523809523809524,221,8.06190476190476,0.047619047619047616,1,0.04761904761904761,12306438.80952381,258435215,19375662331479.867,0.09523809523809523,2,0.09047619047619046,0.047619047619047616,1,0.04761904761904762,0.0,0,0.0,0.047619047619047616,1,0.04761904761904762,35270.19047619047,740674,1813389127.261905,0,0,0.0,15.0,315,63.7,1,11.523809523809524,242,16.961904761904762,3.3333333333333335,70,4.133333333333335,1.4285714285714286,30,1.657142857142857,0.0,0,0.0,0.0,0,0.0,-0.045389266817838246,-0.9531746031746032,0.07629994136102414,1.4761904761904763,31,0.6619047619047619,0.09523809523809523,2,0.09047619047619046,0.0,0,0.0,0.23809523809523808,5,0.19047619047619047,0.9047619047619048,874288,1794,0,1407628207000.0,1183415322000.0,78426,1407628207000.0,1407778196000.0,1767725955800000.0,4,3,0.0,149989000.0
