is_rumor,thread,in_reply_tweet,event,tweet_id,is_source_tweet,in_reply_user,user_id,tweet_length,symbol_count,user_mentions,urls_count,media_count,hashtags_count,retweet_count,favorite_count,mentions_count,is_truncated,created,has_smile_emoji,sensitive,has_place,has_coords,has_quest,has_exclaim,has_quest_or_exclaim,user.tweets_count,user.verified,user.followers_count,user.listed_count,user.desc_length,user.handle_length,user.name_length,user.notifications,user.friends_count,user.time_zone,user.has_bg_img,user.default_pic,user.created_at,user.location,user.profile_sbcolor,user.profile_bgcolor,user.utc_dist,hasperiod,number_punct,negativewordcount,positivewordcount,capitalratio,contentlength,sentimentscore,Noun,Verb,Adjective,Pronoun,FirstPersonPronoun,SecondPersonPronoun,ThirdPersonPronoun,Adverb,has_url_in_text
0,524956731638841344,,ottawashooting,524956731638841344,1,,268416076,133,0,0,0,0,2,169,107,0,0,1413994412000.0,0,0,0,0,0,0,0,49663,0,23781,477,115,15,8,0,8108,Pacific Time (US & Canada),1,0,1300473606000.0,1,6214876,39353,3.0,1,9,0,0,0.022727272727272728,18,0.4333333333333333,6,5,2,1,1,0,0,0,0
0,524956731638841344,5.2495673163884134e+17,ottawashooting,524959682625290240,0,268416076.0,77254498,142,0,1,0,0,5,0,0,1,0,1413995116000.0,0,0,0,0,0,0,0,114600,0,5701,372,126,14,15,0,4294,Eastern Time (US & Canada),1,0,1253896986000.0,1,16777215,14698046,0.0,3,14,0,0,0.08450704225352113,21,-0.1,12,2,1,2,2,0,0,0,0
0,524956731638841344,5.2495673163884134e+17,ottawashooting,524961298497687552,0,268416076.0,2559128258,32,0,1,1,0,0,0,0,1,0,1413995501000.0,0,0,0,0,0,0,0,163,0,83,2,0,6,7,0,539,,1,1,1402409895000.0,0,12639981,12639981,,1,7,0,0,0.1875,2,0.0,2,0,0,0,0,0,0,0,1
0,524956731638841344,5.2495673163884134e+17,ottawashooting,524986365537419264,0,268416076.0,335426737,136,0,1,0,0,2,0,0,1,0,1414001477000.0,0,0,0,0,0,0,0,80189,0,2522,89,137,5,8,0,2474,Eastern Time (US & Canada),1,0,1310664547000.0,1,16777215,12639981,0.0,2,7,0,0,0.10294117647058823,17,0.0,8,3,2,1,0,0,0,0,0
0,524956731638841344,5.2498157100335514e+17,ottawashooting,525017529262301184,0,860648802.0,298629655,64,0,2,0,0,0,0,0,2,0,1414008907000.0,0,0,0,0,0,0,0,57597,0,4814,75,65,16,12,0,4765,Eastern Time (US & Canada),1,0,1305392928000.0,1,0,12639981,0.0,1,5,0,0,0.09375,9,0.0,4,1,0,1,0,1,0,0,0
0,524956731638841344,5.2495673163884134e+17,ottawashooting,524981390946107392,0,268416076.0,860648802,98,0,1,0,0,0,2,4,1,0,1414000291000.0,0,0,0,0,0,0,0,4303,0,105,6,140,14,15,0,164,Eastern Time (US & Canada),1,0,1349314454000.0,1,16777215,12639981,0.0,1,3,0,1,0.09183673469387756,15,-0.2833333333333333,3,5,0,0,0,1,0,0,0
0,524956731638841344,5.2495673163884134e+17,ottawashooting,524966711167315968,0,268416076.0,12344052,16,0,1,0,0,1,0,0,1,0,1413996792000.0,0,0,0,0,0,0,0,12044,0,2654,62,100,15,13,0,1809,Atlantic Time (Canada),1,0,1200540507000.0,1,1579550,1710879,1.0,0,2,0,0,0.25,2,0.0,2,0,0,0,0,0,0,0,0
0,524956731638841344,5.249575515791155e+17,ottawashooting,524981571003355137,0,298629655.0,860648802,124,0,2,0,0,0,0,0,2,0,1414000334000.0,0,0,0,0,1,0,1,4303,0,105,6,140,14,15,0,164,Eastern Time (US & Canada),1,0,1349314454000.0,1,16777215,12639981,0.0,1,7,0,0,0.04838709677419355,19,0.5,7,4,1,1,0,1,0,0,0
0,524956731638841344,5.2495673163884134e+17,ottawashooting,524957551579115520,0,268416076.0,298629655,50,0,1,0,0,1,0,0,1,0,1413994608000.0,0,0,0,0,0,0,0,57597,0,4814,75,65,16,12,0,4765,Eastern Time (US & Canada),1,0,1305392928000.0,1,0,12639981,0.0,1,6,0,0,0.1,7,0.0,4,0,0,0,0,0,1,0,0
0,524956731638841344,5.2495673163884134e+17,ottawashooting,524957489528569856,0,268416076.0,80155484,111,0,1,0,0,0,0,0,1,0,1413994593000.0,0,0,0,0,0,0,0,37943,0,1161,45,147,11,7,0,1399,Pacific Time (US & Canada),1,0,1254785323000.0,1,0,12246989,3.0,1,6,0,0,0.04504504504504504,18,0.0,9,1,2,0,0,0,0,0,0
