,favorite_count,is_rumor,retweet_count
0,21,False,393
0,18,False,165
0,30,False,306
0,6090,False,5814
0,59,False,168
0,32,False,168
0,20,False,134
0,9,False,118
0,21,False,225
0,87,False,465
0,40,False,201
0,23,False,133
0,28,False,489
0,114,False,447
0,49,False,337
0,21,False,106
0,46,False,250
0,56,False,179
0,172,False,1031
0,80,False,237
0,30,False,131
0,19,False,146
0,13,False,181
0,907,False,1290
0,87,False,106
0,33,False,154
0,280,False,632
0,38,False,109
0,98,False,502
0,26,False,225
0,22,False,197
0,109,False,170
0,49,False,149
0,337,False,627
0,164,False,208
0,27,False,125
0,128,False,196
0,192,False,270
0,163,False,622
0,120,False,124
0,75,False,120
0,208,False,1304
0,20,False,151
0,383,False,848
0,36,False,171
0,32,False,196
0,27,False,144
0,18,False,107
0,566,False,3252
0,21,False,113
0,110,False,104
0,8,False,177
0,25,False,112
0,36,False,148
0,59,False,305
0,109,False,399
0,145,False,140
0,53,False,175
0,12,False,118
0,79,False,487
0,8,False,136
0,283,False,500
0,114,False,541
0,3307,False,2610
0,215,False,160
0,7,False,103
0,81,False,427
0,29,False,197
0,881,False,697
0,314,False,198
0,77,False,426
0,128,False,537
0,241,False,228
0,28,False,262
0,24,False,147
0,282,False,236
0,36,False,249
0,46,False,166
0,37,False,201
0,276,False,280
0,71,False,102
0,64,False,511
0,116,False,126
0,24,False,151
0,57,False,172
0,22,False,108
0,24,False,159
0,20,False,126
0,497,False,320
0,46,False,352
0,50,False,447
0,73,False,178
0,289,False,228
0,28,False,152
0,34,False,210
0,72,False,152
0,88,False,506
0,35,False,107
0,19,False,102
0,51,False,112
0,1600,False,934
0,249,False,186
0,22,False,142
0,165,False,932
0,93,False,110
0,27,False,173
0,24,False,103
0,18,False,204
0,678,False,153
0,1421,False,1570
0,208,False,162
0,312,False,771
0,50,False,149
0,97,False,393
0,1648,False,2054
0,541,False,634
0,40,False,214
0,182,False,491
0,176,False,331
0,103,False,424
0,699,False,416
0,18,False,140
0,41,False,190
0,80,False,128
0,24,False,138
0,268,False,651
0,273,False,201
0,326,False,157
0,39,False,112
0,394,False,561
0,45,False,107
0,139,False,249
0,161,False,137
0,31,False,182
0,27,False,144
0,39,False,115
0,321,False,157
0,106,False,136
0,128,False,289
0,235,False,773
0,49,False,140
